┠302791025103┠	┠3021000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠105301000013┠	┠1051000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307100003002┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠103581099992┠	┠1032900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠103290032030┠	┠1032900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠103110099992┠	┠1032900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303100000006┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307110004307┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠103584099993┠	┠1032900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303100000014┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307222003800┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠103332099993┠	┠1032900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307290002006┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303110075451┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠103100024015┠	┠1032900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307301003302┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303121075205┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠907290000012┠	┠9072900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310290000013┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307331002509┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303161000003┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠301521000013┠	┠3012900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303221000006┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310551000016┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303222000008┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307332002603┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠301100000015┠	┠3012900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310521000015┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307333002708┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303241000011┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠907100000247┠	┠9071000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠313290000017┠	┠3132900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310191059018┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307451004601┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303261000019┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307452004800┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310333000012┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303290000018┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠317110010019┠	┠9071000003┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310791000019┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303305037035┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307581009005┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠313332051016┠	┠3132900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310391000012┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307584007998┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303331076795┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310361000011┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303332076890┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307585005001┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠313301015003┠	┠3132900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠105491000014┠	┠1051000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307588005488┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303361000010┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310821000017┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠313331054029┠	┠3132900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303391000014┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307641006003┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310121045016┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠313110011007┠	┠3132900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303393000018┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307651006306┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310881000012┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307653004002┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠313651080005┠	┠3132900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303451000005┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310241000013┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠307731006605┠	┠3075840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303456038103┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310611000019┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303491000011┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303521000010┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303551000014┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303581000007┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310421064018┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310261000014┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303584000004┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303611078966┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310161000013┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310452000017┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303641000000┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303651000011┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310221000016┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303653000007┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310651000013┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310451000015┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠303731039613┠	┠3031000001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308100005019┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310222000018┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308110023010┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308161039018┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310491000010┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308191036000┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308221009019┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310110000013┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308222027903┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308261032013┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310731000013┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308290003011┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308301006012┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308331012011┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠310584000006┠	┠3102900001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308361030017┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308391026010┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308393033013┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308421022014┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308451028011┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308452025018┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308491031013┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
┠308521015014┠	┠3085840001┠	┠2009-10-26┠	┠2009-10-25┠	┠01┠	┠┠
