┠001714488321┠	┠07┠	┠001┠	┠001713088211┠	┠    ┠	┠┠	┠            ┠	┠7144┠	┠中国人民银行从江县支行┠	┠人行从江县支行┠	┠贵州省从江县江东南路23号┠	┠557400┠	┠0855-6418082┠	┠┠	┠1┠	┠2005-03-14┠	┠2999-12-31┠	┠2005-03-07 14:01:11.0┠	┠2┠	┠20050007┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠ ┠	┠          ┠	┠┠
┠001714588339┠	┠07┠	┠001┠	┠001713088211┠	┠    ┠	┠┠	┠            ┠	┠7145┠	┠中国人民银行雷山县支行┠	┠人行雷山县支行┠	┠贵州省雷山县丹江镇居民路22号┠	┠557100┠	┠0855-3331108┠	┠┠	┠1┠	┠2005-03-14┠	┠2999-12-31┠	┠2005-03-07 14:01:11.0┠	┠2┠	┠20050007┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠ ┠	┠          ┠	┠┠
┠001714688249┠	┠07┠	┠001┠	┠001713088211┠	┠    ┠	┠┠	┠            ┠	┠7146┠	┠中国人民银行麻江县支行┠	┠人行麻江县支行┠	┠贵州省麻江县杏山镇环城西路15号┠	┠557600┠	┠0855-2622154┠	┠┠	┠1┠	┠2005-03-14┠	┠2999-12-31┠	┠2005-03-07 14:01:11.0┠	┠2┠	┠20050007┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠ ┠	┠          ┠	┠┠
┠001714788349┠	┠07┠	┠001┠	┠001713088211┠	┠    ┠	┠┠	┠            ┠	┠7147┠	┠中国人民银行丹寨县支行┠	┠人行丹寨县支行┠	┠贵州省丹寨县龙泉镇建设南路31号┠	┠557500┠	┠0855-3611254┠	┠┠	┠1┠	┠2005-03-14┠	┠2999-12-31┠	┠2005-03-07 14:01:10.0┠	┠2┠	┠20050007┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠ ┠	┠          ┠	┠┠
┠001715087643┠	┠01┠	┠001┠	┠001715087643┠	┠7010┠	┠001100001509┠	┠001715087643┠	┠7150┠	┠中国人民银行黔南布依族苗族自治州中心支行┠	┠┠	┠贵州省都匀市河滨路12号┠	┠558000┠	┠0854-8222671┠	┠┠	┠1┠	┠2005-03-14┠	┠2999-12-31┠	┠2005-03-07 14:01:09.0┠	┠2┠	┠20050007┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠2┠	┠2005-03-14┠	┠┠
┠001715287732┠	┠07┠	┠001┠	┠001715087643┠	┠    ┠	┠┠	┠            ┠	┠7152┠	┠中国人民银行荔波县支行┠	┠┠	┠贵州省荔波县樟江东路3号┠	┠558400┠	┠0854-3610571┠	┠┠	┠1┠	┠2005-03-14┠	┠2999-12-31┠	┠2005-03-07 14:01:10.0┠	┠2┠	┠20050007┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠ ┠	┠          ┠	┠┠
┠001715387668┠	┠07┠	┠001┠	┠001715087643┠	┠    ┠	┠┠	┠            ┠	┠7153┠	┠中国人民银行贵定县支行┠	┠┠	┠贵州省贵定县红旗路4号┠	┠551300┠	┠0854-5221835┠	┠┠	┠1┠	┠2005-03-14┠	┠2999-12-31┠	┠2005-03-07 14:01:10.0┠	┠2┠	┠20050007┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠ ┠	┠          ┠	┠┠
┠001715487754┠	┠07┠	┠001┠	┠001715087643┠	┠    ┠	┠┠	┠            ┠	┠7154┠	┠中国人民银行福泉市支行┠	┠┠	┠贵州省福泉市市府路15号┠	┠550500┠	┠0854-2222233┠	┠┠	┠1┠	┠2005-03-14┠	┠2999-12-31┠	┠2005-03-07 14:01:11.0┠	┠2┠	┠20050007┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠ ┠	┠          ┠	┠┠
┠001715587670┠	┠07┠	┠001┠	┠001715087643┠	┠    ┠	┠┠	┠            ┠	┠7155┠	┠中国人民银行瓮安县支行┠	┠┠	┠贵州省瓮安县南路355号┠	┠550400┠	┠0854-2621336┠	┠┠	┠1┠	┠2005-03-14┠	┠2999-12-31┠	┠2005-03-07 14:01:10.0┠	┠2┠	┠20050007┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠ ┠	┠          ┠	┠┠
┠001715687702┠	┠07┠	┠001┠	┠001715087643┠	┠    ┠	┠┠	┠            ┠	┠7156┠	┠中国人民银行独山县支行┠	┠┠	┠贵州省独山县中华街一段┠	┠558200┠	┠0854-4963079┠	┠┠	┠1┠	┠2005-03-14┠	┠2999-12-31┠	┠2005-03-07 14:01:10.0┠	┠2┠	┠20050007┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠┠	┠┠	┠00┠	┠┠	┠ ┠	┠          ┠	┠┠
